1813,113.327,2004
1579,165.509,2000
2004,225.06,2002
14255,105.649,2004
2762,202.367,2005
7794,154.586,2004
9991,202.051,2000
7182,249.453,2002
3960,229.712,2003
10313,142.726,2002
13234,92.236,2004
6944,207.779,2001
1632,222.485,2002
7707,157.389,2002
2193,122.699,2004
14805,146.539,2004
14628,141.761,2001
14153,73.163,2001
3575,120.156,2004
8313,238.719,2001
4108,373.267,2002
3671,87.482,2000
7844,145.538,2004
12549,101.223,2003
11445,318.57,2002
3184,229.748,2003
12510,212.952,2004
11238,119.686,2000
14532,77.639,2004
13939,126.028,2000
12724,118.325,2002
3462,224.19,2003
13863,263.479,2004
3966,50.15,2000
1945,110.648,2003
12420,173.519,2003
4856,130.324,2002
1709,162.983,2000
9241,407.452,2000
10543,219.104,2001
10569,115.543,2003
3183,637.307,2003
265,88.142,2005
12523,209.399,2000
6224,93.247,2001
8477,249.387,2004
13581,223.117,2005
11930,108.637,2001
7677,228.487,2005
1910,58.667,2001
851,78.046,2002
36,273.777,2002
13848,70.11,2000
14779,248.011,2002
10330,142.474,2002
9160,345.662,2001
10904,178.829,2003
5451,149.519,2002
12106,227.085,2004
13255,163.24,2003
2942,126.38,2002
13516,89.694,2001
3825,65.632,2003
5750,137.432,2000
9787,197.735,2004
619,229.185,2002
5399,156.788,2000
3177,141.721,2001
2414,191.1,2002
9001,330.064,2003
927,464.029,2004
13493,105.316,2000
10600,80.302,2002
6241,181.051,2005
10452,284.712,2001
6185,160.317,2003
12512,121.105,2003
8671,150.303,2004
4053,109.331,2003
11916,281.745,2001
4325,161.145,2000
10198,357.615,2003
13005,422.617,2002
11729,153.578,2001
2644,89.572,2000
9953,127.457,2004
10268,134.196,2003
11704,121.748,2000
5257,83.103,2000
1277,77.399,2000
3955,164.024,2000
13038,141.568,2004
7838,151.94,2003
3644,252.157,2000
1145,162.989,2004
6298,76.93,2001
10183,111.11,2001
11264,238.516,2002
6347,155.447,2003
14513,98.514,2004
9992,201.711,2002
8833,155.646,2001
4968,113.506,2001
1597,179.557,2002
6721,390.442,2004
4020,173.325,2001
2397,102.893,2004
13979,165.24,2004
4442,117.13,2001
12503,147.104,2005
14101,159.752,2001
13371,192.29,2004
13956,104.686,2001
11870,223.117,2005
6216,85.033,2004
13187,158.244,2000
2194,334.025,2003
796,109.152,2000
12058,139.318,2002
13690,125.823,2004
12720,329.123,2003
7149,256.298,2002
4635,164.87,2001
376,190.09,2003
5430,186.542,2001
14960,279.152,2002
5673,94.324,2000
9215,151.234,2000
14346,770.015,2004
12308,164.833,2005
6523,125.112,2002
4791,119.975,2002
12617,215.098,2002
6632,52.25,2000
11287,326.226,2004
10870,252.599,2002
12068,104.899,2004
6924,197.37,2003
12636,96.439,2000
10188,118.555,2001
5637,166.391,2005
2261,218.92,2004
5707,56.86,2002
10784,240.637,2004
8053,87.693,2001
6359,160.279,2001
1422,144.883,2003
10008,167.201,2004
10927,172.214,2004
7193,179.539,2000
12036,120.366,2002
11298,52.669,2002
5851,216.963,2000
3135,109.328,2000
8607,83.313,2002
532,259.402,2004
11455,202.774,2003
11900,108.224,2000
4488,223.397,2004
10887,262.248,2002
6173,248.654,2004
8765,166.906,2001
5794,191.575,2000
665,139.069,2003
1473,171.396,2005
8769,261.19,2001
7607,174.863,2001
9411,447.944,2003
11147,230.403,2004
6478,282.752,2004
8253,153.65,2001
11110,140.097,2004
14262,142.257,2001
18,204.245,2004
1013,91.449,2001
7055,223.444,2003
11945,137.418,2003
1360,226.674,2004
7417,102.387,2004
716,151.295,2004
12537,75.712,2002
525,141.928,2004
699,172.9,2002
6736,153.646,2004
252,127.167,2003
3631,132.052,2001
11734,343.686,2005
3861,320.271,2003
1280,129.913,2000
12350,227.13,2004
8125,206.161,2003
7813,203.788,2003
6175,196.351,2004
8994,141.078,2004
1119,206.025,2004
12070,466.448,2001
13306,227.171,2004
4807,237.378,2003
14386,447.943,2004
2906,119.74,2003
7382,108.454,2000
4255,198.852,2004
