1813,1,1175,10662,3,5,0
1579,2,1774,5851,3,6,1
2004,3,1560,7750,3,32,0
14255,4,1296,39406,3,31,0
2762,5,2182,8250,4,15,1
7794,6,1480,2399,2,0,0
9991,7,2536,7110,4,0,0
7182,8,2589,8505,4,1,0
3960,9,2694,6696,4,0,0
10313,10,1578,6177,3,0,0
13234,11,1071,7501,3,34,0
6944,12,1956,6741,4,46,0
1632,13,2860,8617,5,5,0
7707,14,1467,6056,2,17,1
2193,15,1510,4200,3,14,0
14805,16,2368,12666,3,6,0
14628,17,2111,7013,4,0,0
14153,18,699,8974,2,53,0
3575,19,1632,8174,3,31,1
8313,20,1412,36806,3,36,0
4108,21,3724,14619,3,0,0
3671,22,1200,8352,3,28,0
7844,23,1812,9665,3,5,0
12549,24,1252,6730,3,24,0
11445,25,3741,43587,3,18,1
3184,26,3492,8997,5,0,0
12510,27,2832,4998,4,0,0
11238,28,1207,7718,3,11,0
14532,29,841,9791,2,39,0
13939,30,1585,10769,4,29,1
12724,31,572,10456,2,76,0
3462,32,1715,25999,4,46,0
13863,33,2784,7245,5,0,1
3966,34,1371,7002,4,45,0
1945,35,1132,6168,3,26,0
12420,36,2082,5647,3,0,0
4856,37,936,8471,2,42,0
1709,38,1940,12698,4,0,0
9241,39,4027,10640,5,0,1
10543,40,2340,12534,4,2,1
10569,41,1199,6754,3,8,0
3183,42,4166,43718,4,6,1
265,43,1270,3631,4,8,0
12523,44,2602,30605,4,0,0
6224,45,1314,3598,3,10,0
8477,46,2161,6525,4,0,1
13581,47,1772,6304,3,5,1
11930,48,1873,6538,3,21,0
7677,49,1935,6071,4,12,0
1910,50,1166,8438,3,31,0
851,51,1037,1307,2,6,0
36,52,2821,10309,4,0,0
13848,53,883,7651,2,15,0
14779,54,3268,12357,4,0,0
10330,55,1908,7215,4,11,0
9160,56,3268,20146,4,6,1
10904,57,2165,45315,4,0,1
5451,58,1480,7077,3,0,0
12106,59,2399,10367,4,7,0
13255,60,2237,6627,4,0,0
2942,61,1277,4401,3,0,0
13516,62,1385,8703,2,44,1
3825,63,1216,1966,3,10,0
5750,64,1708,8504,3,1,0
9787,65,2388,7896,4,14,1
619,66,2341,9578,4,13,0
5399,67,2086,6300,4,0,0
3177,68,2042,14352,3,46,0
2414,69,2142,7266,4,0,0
9001,70,2865,12680,4,2,1
927,71,2981,12287,4,0,1
13493,72,1447,17599,2,10,0
10600,73,1216,4499,3,17,0
6241,74,2100,15007,3,22,0
10452,75,2687,10734,4,3,1
6185,76,1906,14521,3,20,1
12512,77,1500,8755,4,32,0
8671,78,1719,7650,4,39,0
4053,79,1303,3994,3,4,0
11916,80,3106,10716,4,0,0
4325,81,1855,9369,3,0,0
10198,82,3343,10349,5,0,1
13005,83,3247,6482,4,12,0
11729,84,1916,9766,3,0,0
2644,85,1244,11877,3,35,0
9953,86,1628,16531,3,16,1
10268,87,1571,7642,3,12,0
11704,88,1488,9185,3,9,0
5257,89,1066,7561,3,18,0
1277,90,1210,9760,3,28,0
3955,91,1969,5421,4,0,0
13038,92,1528,5328,3,0,0
7838,93,1916,11759,3,0,0
3644,94,3267,10004,4,0,1
1145,95,2008,6053,4,0,0
6298,96,936,6000,2,16,0
10183,97,1347,4734,4,1,0
11264,98,3015,7825,4,0,0
6347,99,785,5520,2,43,0
14513,100,1136,1789,2,14,0
9992,101,3432,9540,4,0,0
8833,102,1979,5437,4,0,0
4968,103,1219,5249,3,12,0
1597,104,1640,8079,3,47,0
6721,105,2287,16211,5,43,0
4020,106,2194,8915,4,1,0
2397,107,1320,9514,3,47,0
13979,108,1889,10000,3,15,1
4442,109,1335,6270,3,1,0
12503,110,1114,10642,2,45,0
14101,111,1388,10395,3,41,0
13371,112,1915,11137,5,43,0
13956,113,1526,10612,3,13,0
11870,114,2294,8948,4,6,0
6216,115,1192,6604,3,43,0
13187,116,1987,10643,4,12,1
2194,117,2773,9741,4,0,1
796,118,1307,10088,3,6,1
12058,119,1996,4770,3,4,0
13690,120,1764,7493,4,39,1
12720,121,4009,15338,5,0,0
7149,122,3188,10633,4,0,1
4635,123,992,5190,1,32,0
376,124,960,269496,1,36,0
5430,125,2550,9104,4,2,1
14960,126,2551,8136,4,0,1
5673,127,1220,4315,3,2,0
9215,128,1708,6337,3,0,0
14346,129,4434,43709,4,25,1
12308,130,1572,10015,3,20,1
6523,131,1625,18336,3,15,0
4791,132,1458,8589,3,1,0
12617,133,2322,9886,4,3,1
6632,134,920,6590,2,7,0
11287,135,2902,7130,4,0,0
10870,136,2574,11501,4,5,1
12068,137,988,9094,3,20,0
6924,138,2496,7664,4,3,0
12636,139,1487,11830,3,21,0
10188,140,1457,5284,3,0,0
5637,141,1750,11167,4,22,0
2261,142,2025,5361,3,0,0
5707,143,908,6299,3,27,0
10784,144,2483,5521,5,0,1
8053,145,1074,7334,3,31,0
6359,146,2150,6726,3,0,0
1422,147,1540,6597,3,11,0
10008,148,1741,10554,3,25,0
10927,149,1046,7288,2,47,0
7193,150,1630,10125,4,34,0
12036,151,1584,5698,3,0,0
11298,152,982,4607,2,19,0
5851,153,4403,8640,6,5,0
3135,154,1554,6943,2,18,0
8607,155,1063,8024,3,23,0
532,156,2010,17270,3,10,0
11455,157,2061,9707,3,15,1
11900,158,1535,11961,3,21,0
4488,159,2460,6000,4,0,0
10887,160,3232,12546,5,2,1
6173,161,2353,9795,4,4,0
8765,162,1779,23575,3,9,1
5794,163,1748,21282,4,18,1
665,164,1873,9858,3,9,0
1473,165,1244,5499,3,17,0
8769,166,3912,10657,4,6,1
7607,167,3192,10503,3,11,0
9411,168,3259,23889,4,9,1
11147,169,2835,8998,4,0,0
6478,170,3168,6499,3,0,1
8253,171,2049,7508,3,0,0
11110,172,1756,9140,3,9,1
14262,173,1804,11046,4,22,1
18,174,1701,5658,4,0,0
1013,175,1463,7500,3,13,0
7055,176,1671,10156,3,12,0
11945,177,1500,11131,3,24,1
1360,178,1027,6570,2,24,0
7417,179,1135,8553,3,34,0
716,180,1704,5761,3,0,0
12537,181,1416,9900,2,29,0
525,182,1546,11461,3,25,0
699,183,1397,8758,3,49,1
6736,184,1876,8933,4,34,0
252,185,1166,12053,3,24,1
3631,186,1349,6050,3,1,0
11734,187,2197,13956,3,15,1
3861,188,2241,10680,4,33,1
1280,189,1506,10002,3,21,1
12350,190,1938,9369,4,19,0
8125,191,2145,20302,3,11,0
7813,192,2488,10200,3,0,0
6175,193,2085,5746,4,9,0
8994,194,1372,9661,3,18,0
1119,195,1749,23598,3,15,1
12070,196,3865,14531,4,4,1
13306,197,2781,5500,5,0,0
4807,198,2508,11245,4,5,0
14386,199,3920,27077,4,16,1
2906,200,1422,5361,4,15,0
7382,201,1536,10857,3,20,0
4255,202,2380,7783,3,1,0
6748,203,2228,20176,4,27,1
4209,204,2337,7875,4,14,0
10003,205,1580,2333,3,0,0
3289,206,934,7544,2,17,0
9011,207,1200,7440,3,27,0
14124,208,1458,9523,3,9,0
10266,209,2508,9418,3,0,0
12150,210,3730,17784,4,5,1
14657,211,1020,6969,2,46,0
9341,212,1626,10382,3,29,0
14870,213,3910,10374,4,10,0
5264,214,1856,9601,3,40,1
9709,215,1587,10222,3,20,0
5237,216,2440,9808,4,3,0
9028,217,3398,10811,5,0,0
7892,218,3650,14418,4,4,1
9540,219,1617,6698,4,28,0
9157,220,2424,23380,4,8,1
9045,221,2550,10605,4,2,1
7781,222,1814,9606,4,21,0
2929,223,2811,5604,4,0,1
2898,224,1170,6500,3,6,0
6727,225,2514,11033,4,0,0
1762,226,2978,10548,4,0,0
10906,227,2266,11401,4,13,0
14718,228,1213,10906,3,17,1
11690,229,1160,5424,2,24,0
4122,230,3338,11973,4,5,1
4622,231,2535,11258,4,0,0
330,232,1267,8083,3,27,0
13309,233,3289,11687,3,26,1
2243,234,1133,10113,3,30,0
1801,235,2244,9953,4,10,0
10875,236,1355,5535,3,12,0
1244,237,2532,12748,4,15,1
