Price,Year,Home_size,Parcel_size,Beds,Age,Pool,X_coord,Y_coord,cbd_dist
50.21,2000,1304,8631,3,41,1,516336.9,1542495,6620.7
50.228,2002,864,6098,2,45,0,522864.8,1532925,3689.96
51.153,2000,1242,8996,3,20,0,555526.1,1552326,9032.08
51.154,2001,1314,7004,3,-3,0,504975.2,1528265,9138.97
51.255,2000,840,6122,3,42,0,513507.1,1497958,12008.12
51.714,2003,888,4657,2,18,0,488287.0,1584076,21488.22
51.906,2004,856,11148,3,64,0,482127.6,1543416,16492.95
51.989,2004,934,7067,3,51,0,509824.9,1564645,12749.91
52.108,2004,1104,9222,3,43,0,516288.9,1536531,5888.83
52.25,2000,920,6590,2,7,0,537861.6,1554417,7164.88
52.669,2002,982,4607,2,19,0,516717.8,1485866,14846.37
52.973,2002,1319,7910,3,35,0,525617.5,1531552,2812.37
53.003,2002,1466,7231,4,32,0,530814.9,1555286,7471.29
53.27,2002,780,41195,2,22,0,457430.5,1604395,32481.53
53.403,2001,1378,21975,3,26,0,670129.7,1487161,43342.66
53.452,2003,996,6821,3,32,0,512312.0,1523695,7224.2
53.616,2000,1075,4008,3,5,0,531211.1,1526262,1841.52
54.013,2000,3737,10244,4,-2,0,605913.6,1517301,22061.19
54.106,2002,865,1305,2,28,0,557411.8,1524568,7160.58
54.198,2001,768,6001,2,31,0,567982.9,1545856,11055.48
54.315,2005,660,7401,2,46,0,496857.8,1574355,17539.37
54.374,2001,1628,6799,1,55,0,542336.3,1524491,3045.28
54.543,2000,1120,1902,3,15,0,464833.5,1531900,21331.04
54.611,2004,672,17615,2,43,0,497807.3,1580250,18750.9
54.635,2003,979,6259,3,16,0,488912.5,1577150,19816.51
54.662,2003,984,2398,2,15,0,463284.2,1532069,21803.7
54.738,2000,1020,8535,3,42,0,546305.9,1514880,6052.24
54.858,2003,795,8406,1,63,0,540037.0,1519058,3995.93
54.902,2000,961,3668,2,15,0,464740.0,1531601,21358.67
54.919,2000,1008,7095,3,18,0,508630.2,1561698,12275.66
54.94,2004,999,8418,2,44,0,520533.3,1524450,4805.76
55.121,2004,912,4236,3,18,0,530459.6,1530779,1337.1
55.231,2000,1035,6662,3,37,0,517686.8,1520613,6124.56
55.345,2001,1031,1305,3,27,0,557411.4,1524616,7156.45
55.506,2001,1124,3328,3,16,0,464833.5,1531948,21331.21
55.568,2000,1275,8556,3,30,0,565467.3,1542928,10005.08
55.571,2001,1240,1984,2,17,0,465458.9,1532443,21143.05
56.023,2002,1012,3883,3,27,0,524320.9,1480744,15673.52
56.307,2002,920,13313,2,47,0,497257.8,1579384,18643.12
